iter	RMSE
0	16.3677084
1	15.68604776
2	15.04003104
3	14.41885942
4	13.83366137
5	13.29743385
6	12.78124299
7	12.28803497
8	11.80375277
9	11.36733027
10	10.9453865
11	10.54741913
12	10.1645471
13	9.805853558
14	9.462748069
15	9.139857004
16	8.843786794
17	8.554595945
18	8.280773423
19	8.022286759
20	7.778098766
21	7.553010785
22	7.344919237
23	7.160094499
24	6.974517615
25	6.805437175
26	6.640568959
27	6.474028467
28	6.328640058
29	6.195298204
30	6.049217299
31	5.929252902
32	5.811203509
33	5.704619411
34	5.605999666
35	5.502667829
36	5.401722138
37	5.318519054
38	5.234258426
39	5.162025468
40	5.09119162
41	5.026869059
42	4.96751547
43	4.906317737
44	4.846888999
45	4.790344799
46	4.739211886
47	4.693042833
48	4.652612223
49	4.612779122
50	4.575449449
51	4.544525431
52	4.512892921
53	4.483271524
54	4.474535471
55	4.466545962
56	4.457869086
57	4.448852148
58	4.420577275
59	4.40384984
60	4.396440709
61	4.367467291
62	4.348537374
63	4.341735164
64	4.335295936
65	4.329069296
66	4.322864458
67	4.309656594
68	4.304753248
69	4.298907949
70	4.292942556
71	4.286390443
72	4.264165159
73	4.246698458
74	4.240970725
75	4.235076786
76	4.230500248
77	4.211935276
78	4.207491077
79	4.201998363
80	4.196370416
81	4.182667016
82	4.177729621
83	4.173483462
84	4.155720356
85	4.140187452
86	4.135976938
87	4.132658439
88	4.129348019
89	4.126492392
90	4.110889767
91	4.107222971
92	4.103274614
93	4.098859791
94	4.094402807
95	4.071998853
96	4.048982602
97	4.030360325
98	4.021510635
99	4.017846545
100	4.014531711
101	4.005663417
102	4.001938543
103	3.998771464
104	3.995918657
105	3.982802151
106	3.979703411
107	3.976866442
108	3.974261694
109	3.971590806
110	3.968649556
111	3.966239481
112	3.964129066
113	3.949397816
114	3.946580771
115	3.943936857
116	3.925616576
117	3.923410099
118	3.921221334
119	3.909486996
120	3.89233548
121	3.890188534
122	3.888251284
123	3.88650746
124	3.884232926
125	3.866736481
126	3.864364719
127	3.862330855
128	3.860463634
129	3.841202635
130	3.823264725
131	3.813027311
132	3.79457087
133	3.792425053
134	3.779147281
135	3.777708298
136	3.766554112
137	3.764539565
138	3.763070515
139	3.760562179
140	3.748320464
141	3.746373392
142	3.744858016
143	3.743498789
144	3.730489151
145	3.72884438
146	3.718699156
147	3.708582922
148	3.695796801
149	3.69412673
150	3.686622924
151	3.684776824
152	3.676504356
153	3.67497981
154	3.673101504
155	3.659616536
156	3.657990542
157	3.650301331
158	3.639800799
159	3.638398184
160	3.63670677
161	3.635463343
162	3.633882587
163	3.621852276
164	3.620537259
165	3.619247798
166	3.610821716
167	3.609389527
168	3.601926121
169	3.594851135
170	3.589530003
171	3.587748769
172	3.578813769
173	3.577486559
174	3.568233154
175	3.558708922
176	3.55045121
177	3.542335726
178	3.541039737
179	3.534932151
180	3.533423528
181	3.528383466
182	3.5214602
183	3.520129781
184	3.51875095
185	3.511296952
186	3.502508556
187	3.501301736
188	3.49809894
189	3.496935129
190	3.488997868
191	3.484724972
192	3.47890139
193	3.477707526
194	3.476279102
195	3.46855298
196	3.467433068
197	3.466114889
198	3.464859166
199	3.463626409
200	3.462465284
201	3.46129152
202	3.460214304
203	3.458870154
204	3.457686409
205	3.456542015
206	3.455379446
207	3.454403346
208	3.453419345
209	3.452128241
210	3.444598236
211	3.443611373
212	3.437159753
213	3.427778853
214	3.420448776
215	3.413415353
216	3.412161803
217	3.407392163
218	3.406285433
219	3.399572789
220	3.398610865
221	3.392903717
222	3.388650964
223	3.382003429
224	3.381083203
225	3.380189005
226	3.376059578
227	3.375170399
228	3.374283095
229	3.368859269
230	3.364162052
231	3.357956655
232	3.35690099
233	3.356021421
234	3.355098026
235	3.348806432
236	3.347789143
237	3.346038144
238	3.34057382
239	3.339628907
240	3.334562291
241	3.328911075
242	3.327961045
243	3.32463415
244	3.323797504
245	3.32297028
246	3.321369721
247	3.320553415
248	3.314944789
249	3.314142454
250	3.312978211
251	3.312185197
252	3.311401051
253	3.306170137
254	3.301829863
255	3.301056892
256	3.300296857
257	3.29917763
258	3.295044595
259	3.294294979
260	3.293491866
261	3.288352345
262	3.287610851
263	3.286880256
264	3.285432508
265	3.282436042
266	3.279964815
267	3.279240252
268	3.278523804
269	3.273003849
270	3.271639894
271	3.266032157
272	3.265317129
273	3.264138668
274	3.261778859
275	3.261078335
276	3.257848266
277	3.255177537
278	3.254489058
279	3.252230984
280	3.249984787
281	3.24521364
282	3.244079311
283	3.243403163
284	3.242734711
285	3.240608669
286	3.239889534
287	3.238711672
288	3.235798418
289	3.23513824
290	3.234486626
291	3.230596333
292	3.227813051
293	3.227165635
294	3.225142678
295	3.22402567
296	3.22338529
297	3.218818061
298	3.218179917
299	3.216235747
300	3.213760173
301	3.209761971
302	3.209132013
303	3.208509443
304	3.207474321
305	3.206859234
306	3.205141795
307	3.204533554
308	3.203946966
309	3.202272843
310	3.200934204
311	3.199012189
312	3.198417399
313	3.19706371
314	3.196474735
315	3.195846981
316	3.195243698
317	3.194633603
318	3.194030592
319	3.193453462
320	3.192866376
321	3.190570496
322	3.186781949
323	3.184780427
324	3.180098897
325	3.179534849
326	3.176129237
327	3.174366284
328	3.172792431
329	3.171256817
330	3.170698247
331	3.169195908
332	3.167956454
333	3.167405817
334	3.165941211
335	3.162497066
336	3.161066581
337	3.159162468
338	3.15777165
339	3.155585126
340	3.152536933
341	3.150742474
342	3.145557707
343	3.141214599
344	3.137164642
345	3.136618957
346	3.136072657
347	3.134884117
348	3.133729653
349	3.132135338
350	3.131642674
351	3.130510055
352	3.125763657
353	3.124438019
354	3.123913356
355	3.122804068
356	3.122305627
357	3.116900131
358	3.116384866
359	3.11589523
360	3.1146267
361	3.112278061
362	3.111186208
363	3.110679395
364	3.110177585
365	3.109089946
366	3.107143459
367	3.104000508
368	3.103523446
369	3.100501038
370	3.099262967
371	3.097061338
372	3.096568874
373	3.093757775
374	3.093268004
375	3.092080261
376	3.08949547
377	3.088990583
378	3.087952665
379	3.085995839
380	3.084849208
381	3.084391814
382	3.083342269
383	3.079271061
384	3.078815667
385	3.077286628
386	3.07681411
387	3.075812271
388	3.074800492
389	3.073821432
390	3.073353573
391	3.072606413
392	3.072143546
393	3.069669538
394	3.068700247
395	3.067160324
396	3.066700277
397	3.066245865
398	3.062101166
399	3.061648313
